cohort,cohort_label,is_clinical,n_test,rule,partition,n_levels_admissible,level_max_auc,level_min_auc,observed_auc_gap,boot_gap_lo95,boot_gap_hi95,boot_gap_mean,boot_gap_mean_selection,mbc_gap_aligned,mbc_gap_aligned_recalibrated,mbc_gap_maxmin,residual_gap,residual_gap_lo95,residual_gap_hi95,residual_gap_mc_se_lo95,residual_gap_mc_se_hi95,residual_gap_recalibrated,residual_gap_recalibrated_lo95,residual_gap_recalibrated_hi95,fraction_reportable,casemix_attributable_fraction,casemix_attributable_fraction_lo95,casemix_attributable_fraction_hi95,casemix_attributable_fraction_mc_se_lo95,casemix_attributable_fraction_mc_se_hi95,casemix_attributable_fraction_mc_se_mean,casemix_attributable_fraction_recalibrated,casemix_attributable_fraction_recalibrated_lo95,casemix_attributable_fraction_recalibrated_hi95,casemix_attributable_fraction_recalibrated_mc_se_mean,fraction_selection_inclusive_lo95,fraction_selection_inclusive_hi95,max_abs_mbc_recalibrated_minus_obs_auc,max_abs_mbc_minus_obs_auc,lp_sd_ratio,max_abs_calibration_slope_minus_1,min_calibration_p,boot_n,n_boot,seed,row_type,level,level_n,level_n_pos,level_prevalence,level_obs_auc,level_obs_auc_var,level_mbc,level_mbc_recalibrated,level_mbc_minus_obs_auc,level_mbc_recalibrated_minus_obs_auc,level_lp_sd,level_calibration_intercept,level_calibration_slope,level_calibration_p
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,level,0,3809.0,437.0,0.11472827513783145,0.6261065009731508,0.00020476639799989657,0.6609940374649288,0.6202606991405838,0.034887536491778004,-0.005845801832566999,0.57032239379436,-0.4941765333190878,0.7448002316926302,0.006530707101683558
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,level,1,96.0,8.0,0.08333333333333333,0.7244318181818182,0.009843708652241177,0.6328400513301038,0.7448809287198734,-0.09159176685171444,0.020449110538055204,0.4599193106798152,1.795958383913696,1.8936797278125899,0.47666454792375024
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,level,2,15275.0,1803.0,0.11803600654664484,0.6410663130069572,4.8896295557985354e-05,0.6391008415591352,0.6367039213793125,-0.001965471447821998,-0.004362391627644624,0.49945451074147235,0.02714628126111098,0.9846551534943782,0.07738498691978317
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,level,3,402.0,26.0,0.06467661691542288,0.6008592471358429,0.0020513496874450315,0.6353015547693411,0.6003831558006191,0.034442307633498204,-0.0004760913352238605,0.48141173743303495,-1.0157075948951497,0.733557678255355,0.05685050945051938
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,level,4,308.0,32.0,0.1038961038961039,0.683990036231884,0.0022472166638496448,0.6282418347760709,0.6863790512981318,-0.05574820145581316,0.0023890150662477794,0.46371471458102054,1.109194360024938,1.5001415489603502,0.4647442302739174
diabetes130,Diabetes 130,True,19890,m30,race,5,1,3,0.1235725710459753,-0.08833785894956099,0.317150535634578,0.1267521306818182,0.16536004922693825,-0.0024615034392373447,0.14449777291925436,0.03275220268885792,0.12603407448521264,-0.07937815234143653,0.3164119141203669,0.0069786589558143005,0.005849850060771322,-0.020925201873279065,-0.07885932736206329,0.04000345246305066,False,-0.019919496846282657,,,,,,1.1693353281894072,,,,-0.4565483747269032,0.16080308715892022,0.020449110538055204,0.09159176685171444,1.2400488097604687,0.8936797278125899,0.006530707101683558,2000,2000,42,partition,,,,,,,,,,,,,,
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,-0.009632427280806651,0.03855915755709446,0.013633009766461781,0.015236167752944915,0.002075465143907773,0.019166503165890636,0.002075465143907773,0.011405249455349487,-0.012049710515983702,0.03556870729063519,0.0005615057006265186,0.0007763963983699653,-0.005685788566633376,-0.015627331975768426,0.0042541065654781674,False,0.1539580953684847,,,,,,1.4217720451515712,,,,-1.6582361775474155,1.951702086564934,0.008474235343731706,0.01029082948351534,1.0215101992692017,0.13243256345688448,0.021736626905431485,2000,2000,42,level,0,10590.0,1234.0,0.11652502360717658,0.6454490934149504,6.994605544801674e-05,0.6443346734431162,0.642660646637852,-0.0011144199718341463,-0.00278844677709833,0.5184714908140527,0.005763376815302464,0.9892995209305603,0.6761912482003756
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,-0.009632427280806651,0.03855915755709446,0.013633009766461781,0.015236167752944915,0.002075465143907773,0.019166503165890636,0.002075465143907773,0.011405249455349487,-0.012049710515983702,0.03556870729063519,0.0005615057006265186,0.0007763963983699653,-0.005685788566633376,-0.015627331975768426,0.0042541065654781674,False,0.1539580953684847,,,,,,1.4217720451515712,,,,-1.6582361775474155,1.951702086564934,0.008474235343731706,0.01029082948351534,1.0215101992692017,0.13243256345688448,0.021736626905431485,2000,2000,42,level,1,9300.0,1072.0,0.11526881720430107,0.6319683788156931,8.303730412261235e-05,0.6422592082992085,0.6234941434719614,0.01029082948351534,-0.008474235343731706,0.5075539051739006,-0.2116362217097694,0.8675674365431155,0.021736626905431485
diabetes130,Diabetes 130,True,19890,m30,gender,2,0,1,0.01348071459925726,-0.009632427280806651,0.03855915755709446,0.013633009766461781,0.015236167752944915,0.002075465143907773,0.019166503165890636,0.002075465143907773,0.011405249455349487,-0.012049710515983702,0.03556870729063519,0.0005615057006265186,0.0007763963983699653,-0.005685788566633376,-0.015627331975768426,0.0042541065654781674,False,0.1539580953684847,,,,,,1.4217720451515712,,,,-1.6582361775474155,1.951702086564934,0.008474235343731706,0.01029082948351534,1.0215101992692017,0.13243256345688448,0.021736626905431485,2000,2000,42,partition,,,,,,,,,,,,,,
diabetes130,Diabetes 130,True,19890,m30,age_group,9,2,9,0.21604857190810656,0.1238264082491319,0.3130892134271063,0.217842037635096,0.24705044545261118,0.20226503141835606,0.2060002724711627,0.20226503141835606,0.013783540489750501,-0.07837510794806057,0.10800199132831002,0.0030538649075231065,0.002727829655720145,0.010048299436943853,-0.016378144135460623,0.03997627873192335,True,0.9362016588769069,0.6460423324347451,1.6254656142753008,0.005141385711657853,0.04072918545615627,0.005761477747539051,0.9534905537759455,0.8145421514752919,1.0930439664063938,0.0015658563143549392,0.2636833748777418,1.1765162127563844,0.03139397346381767,0.04750206599910456,3.3035828296356273,0.3476153529428665,0.15654917892198605,2000,2000,42,level,1,130.0,11.0,0.08461538461538462,0.7440794499618029,0.008510940940238226,0.6965773839626983,0.7555446974428559,-0.04750206599910456,0.011465247481053042,0.6471690459709021,1.2814904984748399,1.3476153529428665,0.357672328230292
