cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,logreg_l2,False,45,logreg_l2|s45,19604,5,1.1064828542260348,0.3979292954158449,0.44030194257187905,-2.2236863439171173,-2.1318275364007557,0.09185880751636155,0.6099846083843108,0.621074724724991,0.011090116340680245,0.6134022401086449,0.623003295968101,0.009601055859456142,0.20822515900947258
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,logreg_l2,False,45,logreg_l2|s45,19604,2,1.1908028814264,0.38918504117284664,0.46344266843667786,-2.158837226313363,-2.1218362484615416,0.037000977851821215,0.6076273356266209,0.6270557382292143,0.019428402602593486,0.6087366479530553,0.6243752079140791,0.015638559961023812,0.022354916358643173
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,logreg_l2,False,45,logreg_l2|s45,19604,9,3.311177780250827,0.3423821246483508,1.1336880834906882,-2.547544383433315,-1.9659885638433787,0.5815558195899364,0.5950920837249356,0.7697030573510516,0.174610973626116,0.595889704967586,0.7890588564122312,0.1931691514446452,0.2544713452898437
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,46,logreg_l2|s46,19729,5,1.452972709690221,0.2960827417064191,0.4302001435096855,-2.2454114266586727,-2.136322791559773,0.10908863509889954,0.5825944693792515,0.6184335469998937,0.0358390776206422,0.5836378990338049,0.6194973157452741,0.035859416711469194,0.3093675142804496
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,logreg_l2,False,46,logreg_l2|s46,19729,2,1.0496645167927325,0.3938343603344237,0.41339395353680775,-2.1573668867186497,-2.1289868629410402,0.02838002377760951,0.6088597380883041,0.6140077943468507,0.0051480562585466405,0.6104516350911141,0.6124291885316364,0.001977553440522306,0.02559259773345257
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,logreg_l2,False,46,logreg_l2|s46,19729,9,3.3414441320372252,0.2713514322102778,0.9067056508789296,-2.552309403175142,-2.0388266912233144,0.5134827119518275,0.5757898411622061,0.7294500067253217,0.15366016556311557,0.5765677577627524,0.7293152119424383,0.15274745417968594,0.38519832479836225
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,logreg_l2,False,46,logreg_l2|s46,19729,4,1.3046110577041488,0.3297535621587867,0.4302001435096855,-2.2118141438594794,-2.136322791559773,0.07549135229970627,0.5917265732323057,0.6184335469998937,0.026706973767588016,0.5930795630976191,0.6194973157452741,0.026417752647655002,0.11959606648502663
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,logreg_l2,False,46,logreg_l2|s46,19729,2,1.0496645167927325,0.3938343603344237,0.41339395353680775,-2.1573668867186497,-2.1289868629410402,0.02838002377760951,0.6088597380883041,0.6140077943468507,0.0051480562585466405,0.6104516350911141,0.6124291885316364,0.001977553440522306,0.02559259773345257
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,logreg_l2,False,46,logreg_l2|s46,19729,8,3.3414441320372252,0.2713514322102778,0.9067056508789296,-2.319458659444675,-2.0388266912233144,0.2806319682213605,0.5757898411622061,0.7294500067253217,0.15366016556311557,0.5765677577627524,0.7293152119424383,0.15274745417968594,0.2899454651086374
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,logreg_l2,False,47,logreg_l2|s47,19920,5,1.445647770839968,0.29706900365719685,0.42945714292267695,-2.2636809723653304,-2.126547258457054,0.13713371390827644,0.5828619665252843,0.6182422740957628,0.0353803075704785,0.5837946155012391,0.6200404573824967,0.03624584188125757,0.16072051573758062
