cohort,cohort_label,n_test,n_partitions,n_perm,n_repeats,permutation_null_shipped_kernel_s,permutation_null_same_kernel_min_s,permutation_null_same_kernel_median_s,permutation_null_same_kernel_max_s,permutation_null_same_kernel_sd_s,diciccio2020_min_s,diciccio2020_median_s,diciccio2020_max_s,diciccio2020_sd_s,lum2022_min_s,lum2022_median_s,lum2022_max_s,lum2022_sd_s,four_fifths_min_s,four_fifths_median_s,four_fifths_max_s,four_fifths_sd_s,fixed_threshold_005_min_s,fixed_threshold_005_median_s,fixed_threshold_005_max_s,fixed_threshold_005_sd_s,studentization_overhead_median_s,studentization_overhead_pct,repeat_noise_sd_s,overhead_exceeds_repeat_noise
diabetes130,Diabetes 130,19890,3,10000,3,74.91314210009295,27.54955890000565,27.638206899995566,28.131612299999688,0.31360631294136365,27.3454897999909,27.58328989999427,27.874863100005314,0.26514144316271465,0.021322800006601028,0.021493699998245575,0.08551200000511017,0.03701041596412346,2.36433229999966,2.4229686000035144,2.541160000007949,0.09006984160765809,0.011794100006227382,0.011822100001154467,0.01204689999576658,0.00013858022466219197,-0.0549170000012964,-0.19869957627860876,0.2903867286904513,False
brfss2024,BRFSS 2024,8978,5,10000,3,59.904347499948926,23.011162499999045,23.186833599989768,23.493854000000283,0.24430614181391758,23.026708200006397,23.158823300007498,23.815344600006938,0.4223785798717919,0.02478599999449216,0.026811999996425584,0.08344970000325702,0.03330005865057404,1.9745852000050945,1.9949582000117516,2.0141543000063393,0.019787466821121782,0.010307800010195933,0.010430300011648796,0.010844500007806346,0.00028125159987926654,-0.028010299982270226,-0.12080260921130079,0.34502837250182317,False
adult_income,Adult Income,9045,3,10000,3,39.38069090002682,11.879711500005214,12.173354999991716,12.483353100004024,0.30185772265110977,11.704185099995811,11.75028680000105,11.941232400000445,0.12568280931375655,0.01330930000403896,0.014326699994853698,0.036387500003911555,0.01304043273192443,1.1426426999969408,1.1938202000019373,1.218397399992682,0.03864787583121752,0.005245600012131035,0.005580400000326335,0.006104100000811741,0.0004326998484647986,-0.42306819999066647,-3.4753623794833417,0.23120797270110777,False
nhis2023,NHIS 2023,5423,4,10000,3,37.78082760004327,11.92504239999107,11.946725000001607,12.172012399998493,0.13675935595310018,11.638569000002462,11.795952300002682,11.813697999998112,0.09639725067549319,0.016755799995735288,0.017631399998208508,0.01794010000594426,0.0006143475635838027,1.0398840999987442,1.050178199991933,1.0528564999985974,0.006848661029131427,0.005584600003203377,0.005609400002867915,0.006029700001818128,0.0002501270136909651,-0.1507726999989245,-1.2620421077651343,0.11831219586014925,False
nhis2024,NHIS 2024,1950,5,10000,3,26.18796599993948,9.359170800002175,9.393253700007335,9.43889279999712,0.040000351673106754,9.112043199987966,9.377953399991384,9.749619199996232,0.3202464824541774,0.01818749999802094,0.01879239999107085,0.019252300000516698,0.0005340429236174185,0.6534439000097336,0.6556438000116032,0.6922567000001436,0.021801289903293414,0.004387200009659864,0.00467959999514278,0.009976000001188368,0.003145685831973136,-0.015300300015951507,-0.16288605103830592,0.22820806039472616,False
acs_income,ACS-Income,4000,3,10000,3,18.61233239993453,6.02285939999274,6.035252600006061,6.079765299989958,0.029925611441595446,5.709785200000624,5.722171999994316,5.724388900009217,0.007869937671298718,0.010405699998955242,0.010456800009706058,0.011970999999903142,0.0008893421645968704,0.5942635999963386,0.597172199995839,0.6003859999909764,0.003062467579697242,0.002716199989663437,0.0028147999983048066,0.0030244999943533912,0.00015745102039400506,-0.31308060001174454,-5.187531007590803,0.021880106707960485,True
synthetic,Synthetic baseline,2000,4,10000,3,18.875046500004828,7.113073399988934,7.203645599991432,7.3891950999968685,0.1407569616874132,6.811301100009587,6.8813090000039665,6.938522500000545,0.06371783536177414,0.014822299999650568,0.01488200000312645,0.015172399987932295,0.00018729043550286652,0.5304323000018485,0.5345009000011487,0.5411125999962678,0.005390375539647142,0.0033269999985350296,0.0033742999949026853,0.004561800000374205,0.0006996576064039311,-0.3223365999874659,-4.474631566936736,0.10925311164141291,True
nhanes2123,NHANES 21-23,820,4,10000,3,13.108908700058237,5.1495733999909135,5.2704706999938935,5.322146499995142,0.08857014197689983,4.7681277000083355,4.788137399998959,4.9372294999921,0.0923979266829333,0.011811199990916066,0.012106399997719564,0.013796300001558848,0.001071099677842572,0.31618999999773223,0.3165891999960877,0.3184404999919934,0.0012007929697840744,0.0024927999911597,0.0024947000056272373,0.0025160000077448785,1.2881129057274312e-05,-0.48233329999493435,-9.151617141055223,0.09050427311766256,True
german_credit,German Credit,200,2,10000,3,3.1686126000713557,1.460450700004003,1.4640271999960532,1.4935758999927202,0.0181805569128977,1.2510064000089187,1.2542534999956843,1.3078917999955593,0.03194672548906155,0.0048614000115776435,0.004945099994074553,0.005200700004934333,0.00017675856325948889,0.0966927000117721,0.09889310000289697,0.10131739999633282,0.002313253139567426,0.0007929999992484227,0.000793100000009872,0.0008035000064410269,6.033521428445894e-06,-0.209773700000369,-14.328538431590239,0.02599159401745656,True
uci_heart,UCI Heart,61,2,10000,3,3.3867891000118107,1.4884057000017492,1.5061287999997148,1.5513586000015493,0.03246256998485249,1.4008648000017274,1.4114052000077209,1.4500230999983614,0.02588107638968587,0.0008390000002691522,0.0008786999969743192,0.0008889000018825755,2.6363295189645654e-05,0.0006747000006726012,0.0006801000126870349,0.0007022999925538898,1.4627364695961614e-05,0.0006736999930581078,0.0006816000095568597,0.0007028000109130517,1.5048041718338552e-05,-0.09472359999199398,-6.289209793479277,0.02935684387932566,True
