method,permutation_scheme,cohort,cohort_label,is_clinical,n_test,conclusion_m20,conclusion_m30,conclusion_m50,conclusion_m100,conclusion_ev10,p_m20,p_m30,p_m50,p_m100,p_ev10,stat_m20,stat_m30,stat_m50,stat_m100,stat_ev10,n_rules_evaluable,n_distinct_verdicts,verdict_constant,verdict_constant_strict,n_rules_differing_from_m30,differs_from_m30,rules_flagged,p_min,p_max,p_range,p_straddles_alpha
lum2022_cochranQ,,adult_income,Adult Income,False,9045,flag,flag,flag,flag,flag,9.39444158540906e-18,9.39444158540906e-18,9.39444158540906e-18,9.39444158540906e-18,9.39444158540906e-18,0.0022326304994004,0.0022326304994004,0.0022326304994004,0.0022326304994004,0.0022326304994004,5,1,True,True,0,False,m20;m30;m50;m100;ev10,9.39444158540906e-18,9.39444158540906e-18,0.0,False
permutation_null,joint,adult_income,Adult Income,False,9045,no_flag,no_flag,no_flag,flag,no_flag,0.3406659334066593,0.3406659334066593,0.3406659334066593,0.0082991700829917,0.1207879212078792,0.080809796535603,0.080809796535603,0.080809796535603,0.0672677724969116,0.080809796535603,5,2,False,False,1,True,m100,0.0082991700829917,0.3406659334066593,0.3323667633236676,True
diciccio2020,joint,nhis2023,NHIS 2023,True,5423,no_flag,no_flag,no_flag,flag,flag,0.2027797220277972,0.2027797220277972,0.0574942505749425,0.0182981701829817,0.0182981701829817,4.21815401486509,4.21815401486509,4.21815401486509,4.21815401486509,4.21815401486509,5,2,False,False,2,True,m100;ev10,0.0182981701829817,0.2027797220277972,0.18448155184481552,True
fixed_threshold_005,,nhis2023,NHIS 2023,True,5423,flag,flag,flag,flag,flag,,,,,,0.1290037831021435,0.1290037831021435,0.1280132462576684,0.1280132462576684,0.1280132462576684,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
four_fifths,,nhis2023,NHIS 2023,True,5423,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.852166613928293,0.852166613928293,0.852166613928293,0.852166613928293,0.852166613928293,5,1,True,True,0,False,,,,,False
lum2022,,nhis2023,NHIS 2023,True,5423,no_flag,no_flag,no_flag,no_flag,no_flag,0.2078091915311638,0.2078091915311638,0.2078091915311638,0.2078091915311638,0.2078091915311638,0.0018292524095045,0.0018292524095045,0.0018292524095045,0.0018292524095045,0.0018292524095045,5,1,True,True,0,False,,0.2078091915311638,0.2078091915311638,0.0,False
lum2022_bootstrapCI,,nhis2023,NHIS 2023,True,5423,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.0018292524095045,0.0018292524095045,0.0018292524095045,0.0018292524095045,0.0018292524095045,5,1,True,True,0,False,,,,,False
lum2022_cochranQ,,nhis2023,NHIS 2023,True,5423,flag,flag,flag,flag,flag,0.0003751844920986,0.0003751844920986,0.0003751844920986,0.0003751844920986,0.0003751844920986,0.0026274140146266,0.0026274140146266,0.0026274140146266,0.0026274140146266,0.0026274140146266,5,1,True,True,0,False,m20;m30;m50;m100;ev10,0.0003751844920986,0.0003751844920986,0.0,False
permutation_null,joint,nhis2023,NHIS 2023,True,5423,no_flag,no_flag,no_flag,flag,flag,0.7422257774222578,0.7422257774222578,0.2243775622437756,0.0178982101789821,0.0178982101789821,0.1290037831021437,0.1290037831021437,0.1280132462576686,0.1280132462576686,0.1280132462576686,5,2,False,False,2,True,m100;ev10,0.0178982101789821,0.7422257774222578,0.7243275672432757,True
diciccio2020,joint,nhis2024,NHIS 2024,True,1950,flag,flag,flag,flag,no_flag,0.0381961803819618,0.0381961803819618,0.0381961803819618,0.0134986501349865,0.0581941805819418,7.721367123162472,7.721367123162472,7.721367123162472,7.721367123162472,3.5325973794956758,5,2,False,False,1,True,m20;m30;m50;m100,0.0134986501349865,0.0581941805819418,0.044695530446955296,True
fixed_threshold_005,,nhis2024,NHIS 2024,True,1950,flag,flag,flag,flag,flag,,,,,,0.3279162152401589,0.3279162152401589,0.3279162152401589,0.3279162152401589,0.1809403305144472,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
four_fifths,,nhis2024,NHIS 2024,True,1950,flag,flag,flag,flag,flag,,,,,,0.6645578388362965,0.6645578388362965,0.6645578388362965,0.6645578388362965,0.7953507100677353,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
lum2022,,nhis2024,NHIS 2024,True,1950,no_flag,no_flag,no_flag,no_flag,flag,0.5987670094166433,0.5987670094166433,0.5987670094166433,0.5987670094166433,7.932734896832387e-07,0.0100522855948663,0.0100522855948663,0.0100522855948663,0.0100522855948663,0.0068595727086433,5,2,False,False,1,True,ev10,7.932734896832387e-07,0.5987670094166433,0.5987662161431536,True
lum2022_bootstrapCI,,nhis2024,NHIS 2024,True,1950,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.0100522855948663,0.0100522855948663,0.0100522855948663,0.0100522855948663,0.0068595727086433,5,1,True,True,0,False,,,,,False
lum2022_cochranQ,,nhis2024,NHIS 2024,True,1950,flag,flag,flag,flag,flag,3.793389522789561e-13,3.793389522789561e-13,3.793389522789561e-13,3.793389522789561e-13,0.0062504430511294,0.0136574859619717,0.0136574859619717,0.0136574859619717,0.0136574859619717,0.0069600581865696,5,1,True,True,0,False,m20;m30;m50;m100;ev10,3.793389522789561e-13,0.0062504430511294,0.006250443050750061,False
permutation_null,joint,nhis2024,NHIS 2024,True,1950,no_flag,no_flag,no_flag,no_flag,flag,0.0873912608739126,0.0873912608739126,0.0873912608739126,0.0626937306269373,0.0244975502449755,0.3279162152401589,0.3279162152401589,0.3279162152401589,0.3279162152401589,0.1809403305144474,5,2,False,False,1,True,ev10,0.0244975502449755,0.0873912608739126,0.06289371062893709,True
diciccio2020,joint,acs_income,ACS-Income,False,4000,flag,flag,flag,flag,flag,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,4.372581773265076,4.372581773265076,4.372581773265076,4.372581773265076,4.372581773265076,5,1,True,True,0,False,m20;m30;m50;m100;ev10,9.999000099990002e-05,9.999000099990002e-05,0.0,False
fixed_threshold_005,,acs_income,ACS-Income,False,4000,flag,flag,flag,flag,flag,,,,,,0.0527297982155965,0.0527297982155965,0.0527297982155965,0.0527297982155965,0.0527297982155965,5,1,True,True,0,False,m20;m30;m50;m100;ev10,,,,False
four_fifths,,acs_income,ACS-Income,False,4000,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.9404566973243732,0.9404566973243732,0.9404566973243732,0.9404566973243732,0.9404566973243732,5,1,True,True,0,False,,,,,False
lum2022,,acs_income,ACS-Income,False,4000,flag,flag,flag,flag,flag,2.096137628793535e-37,2.096137628793535e-37,2.096137628793535e-37,2.096137628793535e-37,2.096137628793535e-37,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,5,1,True,True,0,False,m20;m30;m50;m100;ev10,2.096137628793535e-37,2.096137628793535e-37,0.0,False
lum2022_bootstrapCI,,acs_income,ACS-Income,False,4000,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,5,1,True,True,0,False,,,,,False
lum2022_cochranQ,,acs_income,ACS-Income,False,4000,flag,flag,flag,flag,flag,3.68357409951832e-05,3.68357409951832e-05,3.68357409951832e-05,3.68357409951832e-05,3.68357409951832e-05,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,0.001317503767662,5,1,True,True,0,False,m20;m30;m50;m100;ev10,3.68357409951832e-05,3.68357409951832e-05,0.0,False
permutation_null,joint,acs_income,ACS-Income,False,4000,flag,flag,flag,flag,flag,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.0527297982155965,0.0527297982155965,0.0527297982155965,0.0527297982155965,0.0527297982155965,5,1,True,True,0,False,m20;m30;m50;m100;ev10,9.999000099990002e-05,9.999000099990002e-05,0.0,False
diciccio2020,joint,synthetic,Synthetic baseline,False,2000,flag,flag,flag,flag,flag,0.0141985801419858,0.0141985801419858,0.0141985801419858,0.0057994200579942,0.0141985801419858,5.22381195883058,5.22381195883058,5.22381195883058,5.22381195883058,5.22381195883058,5,1,True,True,0,False,m20;m30;m50;m100;ev10,0.0057994200579942,0.0141985801419858,0.008399160083991601,False
fixed_threshold_005,,synthetic,Synthetic baseline,False,2000,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.0455548005979318,0.0455548005979318,0.0455548005979318,0.0455548005979318,0.0455548005979318,5,1,True,True,0,False,,,,,False
