cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,2,1.0232193749683842,1.0045035145357155,0.5054623542692237,0.5171988742054031,0.0116980517136591,1.0108980592786774,0.6397046130007016,0.0,0.5299609999638051
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,42.0,xgb_published|s42,79602,19890,0.111341423582322,0.1159376571141277,9,3.3097603284899724,4.025056695380713,0.3362303311374182,1.112841811233673,0.2231903797849082,2.016225244571701,0.6397046130007016,0.0,0.5299609999638051
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,5,1.326009444571914,1.3429931693361643,0.3966580332238216,0.5259722983201075,0.1008783782381381,1.8631264023934184,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,2,1.026024047165791,1.000275063263638,0.4898712874224991,0.5026197209115492,0.0073564013246277,1.0145738951747647,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,10,2.4934314983675208,3.264878426578264,0.3748934269628053,0.9347710793200024,0.2028325407131674,2.9254658385093166,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,4,1.072967237112135,1.1538503472494166,0.4902035030778283,0.5259722983201075,0.1008783782381381,1.0700545027370632,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,2,1.026024047165791,1.000275063263638,0.4898712874224991,0.5026197209115492,0.0073564013246277,1.0145738951747647,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,43.0,xgb_published|s43,79512,19980,0.1113794144280108,0.1157657657657657,8,2.4819775807806512,2.6312140610270403,0.376623498358108,0.9347710793200024,0.187004905103157,1.4307132148211608,0.6443101151873624,0.0,0.53355819999706
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,5,1.3580687907115745,1.3176193194278174,0.4152672879021234,0.563961543503312,0.2072720291343103,1.7686231360441438,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,2,1.0284695128729822,1.0404422010200054,0.5096644751483602,0.5241743744844981,0.0060284374672502,1.0344607719983587,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,10,3.391684188169221,4.242785808614971,0.3366954625298594,1.1419646764908469,0.2063259805795551,7.906899418121363,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,4,1.1561347887688058,1.3176193194278174,0.4877991294629992,0.563961543503312,0.2072720291343103,1.272660034402135,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,2,1.0284695128729822,1.0404422010200054,0.5096644751483602,0.5241743744844981,0.0060284374672502,1.0344607719983587,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,44.0,xgb_published|s44,79513,19979,0.1110258699835247,0.1171730316832674,8,3.391684188169221,4.242785808614971,0.3366954625298594,1.1419646764908469,0.1702424632874285,2.06342150665632,0.6442992729718015,0.0,0.5075718000298366
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,5,1.107230663653615,1.3261357871588535,0.496811107323181,0.5500844920719332,0.206828189965445,1.157543795841668,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,2,1.079926167667132,1.00254120369024,0.4853728043371134,0.5241667924776277,0.0221946991038529,1.078927075538933,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,10,3.006637629446794,3.254282267326861,0.3619827145063837,1.0883508506441892,0.260034663271081,3.0257879656160456,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,5,1.107230663653615,1.3261357871588535,0.496811107323181,0.5500844920719332,0.206828189965445,1.157543795841668,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,2,1.079926167667132,1.00254120369024,0.4853728043371134,0.5241667924776277,0.0221946991038529,1.078927075538933,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,45.0,xgb_published|s45,79888,19604,0.1124198878429801,0.1116098755356049,9,3.006637629446794,3.254282267326861,0.3619827145063837,1.0883508506441892,0.2484300864698805,2.184951713891542,0.6449685967178891,0.0,0.5245164000079967
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,46.0,xgb_published|s46,79763,19729,0.112596065845066,0.1109027320188554,5,1.303158205889586,1.324903560011874,0.4147010998144607,0.5404211412146507,0.2615971070573062,1.5206422018348624,0.6438019278312382,0.0,0.5090364000061527
